location_id,country,state,county,town,village,alternative,details
2,US,Massachusetts,Norfolk,Norwood,,,St. Catherine of Sienna Catholic Church
3,US,Massachusetts,Norfolk,Norwood,,,Norwood Hospital
4,US,Massachusetts,Suffolk,Boston,Brighton,,St. Gabriel's Catholic Church
5,IE,Lietrim,,Dromod,,,
6,US,Massachusetts,Suffolk,Boston,Brighton,,St. Elizabeth's Hospital
7,IE,Dublin,,Dublin,,,
8,US,Massachusetts,Middlesex,Newton,,,Brigham & Women's Hospital
9,US,West Virginia,,Matoaka,,,
10,GB,England,London,London,,,
11,IT,Calabria,,Filadelfia,,,
12,IE,Donegal,,Ballyshannon,Creevy,,
13,IE,Galway,,Moycullen,,,
14,IE,Donegal,,Ballyshannon,,,
15,IE,Galway,,Clifden,,,
16,US,Massachusetts,Suffolk,Boston,Dorchester,,
17,US,Massachusetts,,,,,
18,US,Massachusetts,Middlesex,Watertown,,,
19,IE,Munster,,Cross Downey,,,
20,IE,Westmeath,,Mount Temple,,,
21,IE,Donegal,,Corker,,,
22,IE,Donegal,,Petticco,,,
23,IE,Cavan,,Cloughbolly,,,
24,IE,Donegal,,Ballymunterhiggin,,,
25,US,Rhode Island,Providence,Providence,,,
26,US,New Hampshire,Merrimack,Concord,,,
27,US,Massachusetts,Middlesex,Everett,,,
28,IE,Munster,,Waterford,,,
29,US,Suffolk,Chelsea,,,,
30,CA,Nova Scotia,,Halifax,,,
31,US,Maine,,,,,
32,CA,Nova Scotia,Antigonish,,,,
33,US,Rhode Island,Providence,Providence,,,Women & Infants Hospital of Rhode Island
34,US,Maine,Kennebec,Hallowell,,,
35,CA,Nova Scotia,,Soldiers Cove,,,
36,GB,Scotland,,,,,
37,GB,Scotland,,Inverae Angulshire,,,
38,CA,New Brunswick,,,,,
39,US,Maine,,Edgecomb,,,
40,FR,,,,,,
41,US,Maine,,Newcastle,,,
42,US,Maine,,Sheepscot,,,
43,US,Maine,,Freetown,,,
44,US,Maine,,Lincoln,,,
45,US,Massachusetts,,Gloucester,,,
46,US,Massachusetts,,Dorset,,,
47,US,Massachusetts,Norfolk,Weymouth,,,
48,GB,England,Bedfordshire,Cranfield,,,
49,GB,England,Bedfordshire,Wooten,,,
50,GB,England,Buckinghampshire,,,,
51,US,Massachusetts,Essex,Ipswich,,,
52,GB,England,Lancashire,Burnley,,,
53,GB,England,Berkshire,Windsor,,,
54,GB,England,London,London,St. Michael Corn,,
55,GB,England,,Berkamosted,,,
56,GB,England,Ipswich,St. Lawrence,,,
57,IE,Dublin,,St. Edmundsbury,,,
58,GB,England,Yorkshire,Yorkshire,,,
59,GB,England,Suffolk,,,,
60,GB,England,Suffolk,St. James,,,
61,GB,England,Nottinghamshire,Everton,,,
62,GB,England,Yorkshire,,,,
63,GB,England,Devenshire,,,,
64,GB,England,Devenshire,Leigh,,,
65,GB,England,Somerset,,,,
66,GB,England,Somerset,Hestercombe,,,
67,GB,England,Wiltshire,,,,
68,GB,England,Somerset,Chipleigh,,,
69,GB,England,Cornwall,Killigrath,,,
70,GB,England,Oxfordshire,,,,
71,GB,England,Sussex,Arundel,,,
72,GB,England,Cornwall,Colquite,,,
73,GB,England,Oxfordshire,Cassington,,,
74,GB,England,,,,,
75,GB,England,Hampshire,Christchurch,,,
76,SP,Castile and Leon,,Burgos,,,
77,GB,England,London,London,,,Palace of Westminster
78,SP,Castile and Leon,,Peleas de Arriba,,,
